skill,source,job_count
Etl,naukri,185
Gcp,naukri,107
Sql,naukri,48
Azure,naukri,41
Python,naukri,37
Aws,naukri,37
Java,naukri,20
Databricks,naukri,19
Bigquery,naukri,18
Redshift,naukri,16
Snowflake,naukri,15
Spark,naukri,11
Glue,naukri,9
Elt,naukri,9
S3,naukri,9
Azure Data Factory,naukri,8
Power Bi,naukri,8
Data Modeling,naukri,6
Airflow,naukri,6
Tableau,naukri,5
Dataflow,naukri,5
Data Lake,naukri,5
Scala,naukri,5
Dbt,naukri,5
Hadoop,naukri,5
Kafka,naukri,3
Apache Spark,naukri,3
Data Warehouse,naukri,3
Ec2,naukri,3
Git,naukri,3
Microservices,naukri,2
Github,naukri,2
R,naukri,1
Rest Api,naukri,1
Postgresql,naukri,1
Kinesis,naukri,1
Terraform,naukri,1
Data Pipeline,naukri,1
Jenkins,naukri,1
Docker,naukri,1
Looker,naukri,1
Mysql,naukri,1
Kubernetes,naukri,1
Data Quality,naukri,1
